Categoria;Data;Grupo;Produto;Ano Do Carro;Estado;Valor
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol Trendline 1.0 Total Flex 4p;2015;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$27.970
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Plus Total Flex 5p;2008;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$14.400
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0;1996;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$15.000
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi 8v G.v;2011;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$23.880
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Vht Rallye Total Flex 5p;2014;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$37.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi 3p;1996;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$30.000
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Power Total Flex 5p;2009;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$21.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 16v Msi Aut. 5p;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$58.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 16v Power 5p;2002;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$10.500
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol 1.0 8v 4p;2012;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$15.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Total Flex 5p;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$46.970
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Plus Total Flex 5p;2007;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$11.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol Power 1.6 Mi (flex);2004;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$13.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 City 4p;2003;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$12.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol 1.6 Msi Trendline (flex);2018;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$39.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Rock In Rio Total Flex 5p;2016;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio Grande do Sul</span>";R$34.500
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Trend Tec Total Flex 5p;2013;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$27.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Vht Power Total Flex 5p;2012;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$27.490
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Trend Total Flex 5p;2013;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$24.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Total Flex 5p;2013;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$28.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol 1.0 Flex 12v 5p;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$43.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 2.0 5p;2000;"<span class=""ui-search-item__group__element ui-search-item__location"">Santa Catarina</span>";R$35.000
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Total Trendline;2017;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$34.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Total Flex 5p;2012;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$24.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Total Flex 5p;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$46.970
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol (novo) 1.0 Mi Total Flex 8v 4p;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$41.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$43.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol 1.0 Flex 12v 5p;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$45.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Plus Total Flex 5p;2008;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$18.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$43.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Novo Gol 1.0 City;2014;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$29.490
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol Rolling Stones 1995;1995;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$14.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol (novo) 1.0 Mi Total Flex 8v 4p;2011;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio de Janeiro</span>";R$17.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Tec Total Flex 5p;2014;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$24.500
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Vht Rallye Total Flex 5p;2014;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$37.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi 3p;1996;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$30.000
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 City 4p;2003;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$12.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol 1.0 Flex 12v 5p;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$43.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Total Trendline;2017;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$34.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Plus Total Flex 5p;2008;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$18.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol Trendline 1.0 Total Flex 4p;2018;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$40.890
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol G5 1.0 8v(trend) 4p;2011;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$21.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol 1.0;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$42.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Total Flex 5p;2012;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$20.000
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi Trendline 8v;2015;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$32.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi Rock In Rio 8v;2016;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$38.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi 3p;1997;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$15.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Total Flex 5p;2013;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$28.870
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Total Flex 5p;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$94.802
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Copa Total Flex 5p;2006;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$24.500
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Msi Total Flex 5p;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$43.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol City 1.6;2003;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$11.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Trendline Total Flex 3p;2017;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$29.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi Special 8v Flex 4p Manual;2015;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$33.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Mi 8v Flex 4p Manual G.vi;2015;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$37.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Special 2p;1999;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$10.000
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Vht Power Total Flex 5p;2012;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$25.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.6 Vht Power Total Flex 5p;2013;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$28.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Volkswagen Gol 1.6 Vht City (flex) 4p;2015;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$32.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol Quadrado;1992;"<span class=""ui-search-item__group__element ui-search-item__location"">Goiás</span>";R$7.500
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 City Total Flex 5p;2006;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$14.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Volkswagen Gol 1.6 Mi Trendline 8v Flex 4p Manual 2018;2018;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$37.890
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 City 3p;2004;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$14.500
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Trend Total Flex 5p;2010;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$19.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Special 3p;2000;"<span class=""ui-search-item__group__element ui-search-item__location"">Santa Catarina</span>";R$23.000
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 City Total Flex 5p;2007;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$16.800
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 City Total Flex 5p 72 Hp;2015;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$29.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol (novo) 1.6mi;2018;"<span class=""ui-search-item__group__element ui-search-item__location"">Distrito Federal</span>";R$40.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi Série Ouro 16v G.iii;2000;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$15.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi Plus 16v Gasolina 4p Manual G.iii;2001;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$17.700
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Trend Total Flex 5p;2012;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$27.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gl;1995;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$36.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Trend Total Flex 5p;2009;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$18.989
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Total Flex 5p;2014;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$33.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Total Flex 3p;2013;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$15.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Special 1.0 8v;2005;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$12.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol 1.0 Mi Special 8v Flex 4p Manual;2016;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$34.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol 1.6 Mi Power 8v Flex 4p Manual G.v;2012;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$27.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Vw Gol 1.0;2018;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$38.000
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol Quadrado;1992;"<span class=""ui-search-item__group__element ui-search-item__location"">Goiás</span>";R$7.500
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 City Total Flex 5p;2006;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$14.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Volkswagen Gol 1.6 Mi Trendline 8v Flex 4p Manual 2018;2018;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$37.890
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Total Flex 5p;2019;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$42.800
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 City 3p;2004;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$14.500
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Trend Total Flex 5p;2010;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$19.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Special 3p;2000;"<span class=""ui-search-item__group__element ui-search-item__location"">Santa Catarina</span>";R$23.000
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 City Total Flex 5p;2007;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$16.800
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$44.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Trendline 1.0 Total Flex;2017;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$38.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 City Total Flex 5p 72 Hp;2015;"<span class=""ui-search-item__group__element ui-search-item__location"">Minas Gerais</span>";R$29.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Total Flex 5p;2013;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$28.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol (novo) 1.6mi;2018;"<span class=""ui-search-item__group__element ui-search-item__location"">Distrito Federal</span>";R$40.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Trendline 1.0;2015;"<span class=""ui-search-item__group__element ui-search-item__location"">Santa Catarina</span>";R$33.500
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 City Total Flex 5p;2006;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$15.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi Série Ouro 16v G.iii;2000;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$15.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi Plus 16v Gasolina 4p Manual G.iii;2001;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$17.700
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Trend Total Flex 5p;2012;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$27.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gl;1995;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$36.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Trend Total Flex 5p;2009;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$18.989
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Total Flex 5p;2014;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$33.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi 8v;2012;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$19.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 T.flex 12v 5p;2018;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$36.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v (flex);2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio Grande do Sul</span>";R$45.070
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v (flex);2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio Grande do Sul</span>";R$44.610
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Total Flex 3p;2013;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$15.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v (flex);2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio Grande do Sul</span>";R$43.910
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v (flex);2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio Grande do Sul</span>";R$44.840
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Special 1.0 8v;2005;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$12.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol 1.0 Mi Special 8v Flex 4p Manual;2016;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$34.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol Gol 1.6 Mi Power 8v Flex 4p Manual G.v;2012;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$27.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Trend Total Flex 5p;2012;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$26.990
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio Grande do Sul</span>";R$41.490
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Vw Gol 1.0;2018;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$38.000
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 12v Mpi Totalflex 4p Manual;2020;"<span class=""ui-search-item__group__element ui-search-item__location"">Rio de Janeiro</span>";R$44.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi 8v Flex 4p Manual G.v;2010;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$23.900
Carros, Motos e Outros;25/02/2021;Carros e Caminhonetes Gol;Volkswagen Gol 1.0 Mi 8v Flex 4p Manual G.v;2012;"<span class=""ui-search-item__group__element ui-search-item__location"">São Paulo</span>";R$21.990
